TRADEDATE;OPEN;HIGH;LOW;CLOSE
16.06.2016;1159.52;1159.52;1159.52;1159.52
17.06.2016;1179.32;1179.32;1179.32;1179.32
20.06.2016;1212.72;1212.72;1212.72;1212.72
21.06.2016;1215.55;1215.55;1215.55;1215.55
22.06.2016;1202.67;1202.67;1202.67;1202.67
23.06.2016;1220.59;1220.59;1220.59;1220.59
24.06.2016;1185.21;1185.21;1185.21;1185.21
27.06.2016;1154.41;1154.41;1154.41;1154.41
28.06.2016;1175.95;1175.95;1175.95;1175.95
29.06.2016;1209.7;1209.7;1209.7;1209.7
30.06.2016;1209.13;1209.13;1209.13;1209.13
01.07.2016;1213.41;1213.41;1213.41;1213.41
04.07.2016;1225.2;1225.2;1225.2;1225.2
05.07.2016;1204.86;1204.86;1204.86;1204.86
06.07.2016;1195.06;1195.06;1195.06;1195.06
07.07.2016;1205.24;1205.24;1205.24;1205.24
08.07.2016;1219.98;1219.98;1219.98;1219.98
11.07.2016;1234.32;1234.32;1234.32;1234.32
12.07.2016;1252.76;1252.76;1252.76;1252.76
13.07.2016;1249.05;1249.05;1249.05;1249.05
14.07.2016;1276.1;1276.1;1276.1;1276.1
15.07.2016;1269.96;1269.96;1269.96;1269.96
18.07.2016;1277.86;1277.86;1277.86;1277.86
19.07.2016;1264.8;1264.8;1264.8;1264.8
20.07.2016;1256.75;1256.75;1256.75;1256.75
21.07.2016;1257.2;1257.2;1257.2;1257.2
22.07.2016;1242.48;1242.48;1242.48;1242.48
25.07.2016;1235.48;1235.48;1235.48;1235.48
26.07.2016;1227.56;1227.56;1227.56;1227.56
27.07.2016;1223.48;1223.48;1223.48;1223.48
28.07.2016;1225.76;1225.76;1225.76;1225.76
29.07.2016;1231.31;1231.31;1231.31;1231.31
01.08.2016;1224.62;1224.62;1224.62;1224.62
02.08.2016;1198.75;1198.75;1198.75;1198.75
03.08.2016;1208.71;1208.71;1208.71;1208.71
04.08.2016;1231.22;1231.22;1231.22;1231.22
05.08.2016;1241.79;1241.79;1241.79;1241.79
08.08.2016;1265.92;1265.92;1265.92;1265.92
09.08.2016;1266.56;1266.56;1266.56;1266.56
10.08.2016;1256.8;1256.8;1256.8;1256.8
11.08.2016;1265;1265;1265;1265
12.08.2016;1267.35;1267.35;1267.35;1267.35
15.08.2016;1290.61;1290.61;1290.61;1290.61
16.08.2016;1294.22;1294.22;1294.22;1294.22
17.08.2016;1281.7;1281.7;1281.7;1281.7
18.08.2016;1294.52;1294.52;1294.52;1294.52
19.08.2016;1282.09;1282.09;1282.09;1282.09
22.08.2016;1278.92;1278.92;1278.92;1278.92
23.08.2016;1290.81;1290.81;1290.81;1290.81
24.08.2016;1271.95;1271.95;1271.95;1271.95
25.08.2016;1282.9;1282.9;1282.9;1282.9
26.08.2016;1292.38;1292.38;1292.38;1292.38
29.08.2016;1277.31;1277.31;1277.31;1277.31
30.08.2016;1272.78;1272.78;1272.78;1272.78
31.08.2016;1261.6;1261.6;1261.6;1261.6
01.09.2016;1254.65;1254.65;1254.65;1254.65
02.09.2016;1287.71;1287.71;1287.71;1287.71
05.09.2016;1297.79;1297.79;1297.79;1297.79
06.09.2016;1321.56;1321.56;1321.56;1321.56
07.09.2016;1335.39;1335.39;1335.39;1335.39
08.09.2016;1345.14;1345.14;1345.14;1345.14
09.09.2016;1311.63;1311.63;1311.63;1311.63
12.09.2016;1306.2;1306.2;1306.2;1306.2
13.09.2016;1285.95;1285.95;1285.95;1285.95
14.09.2016;1288.64;1288.64;1288.64;1288.64
15.09.2016;1289.49;1289.49;1289.49;1289.49
16.09.2016;1276.84;1276.84;1276.84;1276.84
19.09.2016;1288.04;1288.04;1288.04;1288.04
20.09.2016;1287.98;1287.98;1287.98;1287.98
21.09.2016;1301.04;1301.04;1301.04;1301.04
22.09.2016;1331.64;1331.64;1331.64;1331.64
23.09.2016;1320.76;1320.76;1320.76;1320.76
26.09.2016;1311.31;1311.31;1311.31;1311.31
27.09.2016;1293.17;1293.17;1293.17;1293.17
28.09.2016;1296;1296;1296;1296
29.09.2016;1326.56;1326.56;1326.56;1326.56
30.09.2016;1316.99;1316.99;1316.99;1316.99
03.10.2016;1335.34;1335.34;1335.34;1335.34
04.10.2016;1330.23;1330.23;1330.23;1330.23
