<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20160105,000000,360.7700000,361.6200000,360.6800000,361.6200000,3608130
20160106,000000,361.7200000,362.1800000,361.0200000,361.9400000,20434158
20160111,000000,362.3700000,362.4600000,357.6000000,357.6000000,12469210642
20160112,000000,357.6800000,357.6800000,353.4400000,353.4600000,17764820550
20160113,000000,353.6400000,353.9700000,352.8800000,353.2300000,17222689126
20160114,000000,353.2800000,353.2800000,351.7900000,351.8000000,24242113664
20160115,000000,351.9100000,352.5500000,350.4800000,350.4900000,18315769460
20160118,000000,350.5800000,350.5800000,348.9800000,349.4000000,10744435725
20160119,000000,349.3500000,352.0200000,349.3500000,351.8900000,41605489045
20160120,000000,352.0300000,352.0300000,349.1700000,349.1700000,28663412901
20160121,000000,349.3100000,349.3100000,346.3200000,347.1200000,37543811203
20160122,000000,347.9600000,350.8700000,347.7800000,350.4900000,28625496538
20160125,000000,351.0400000,353.5200000,350.9800000,351.3800000,12573713075
20160126,000000,351.4200000,352.2200000,350.9600000,352.2200000,13453650604
20160127,000000,352.3900000,354.4000000,352.3900000,354.4000000,8663873866
20160128,000000,354.6500000,357.5500000,354.6300000,357.3900000,14445831407
20160129,000000,357.5300000,358.6900000,356.8600000,356.9100000,23751773752
20160201,000000,356.9800000,357.4100000,355.8500000,355.8500000,7686120597
20160202,000000,355.9700000,355.9700000,354.1800000,354.3700000,12627658168
20160203,000000,354.4900000,355.6800000,354.3700000,355.4900000,13972951675
20160204,000000,355.6100000,357.1500000,355.6100000,357.0600000,17423426620
20160205,000000,357.1900000,357.2800000,356.4200000,356.7200000,5947747187
20160208,000000,356.9600000,357.1500000,356.6800000,356.8400000,11813769133
20160209,000000,356.9300000,357.0300000,355.5900000,355.5900000,20528559257
20160210,000000,355.7000000,356.2700000,355.1000000,356.2700000,14105253651
20160211,000000,356.4000000,357.3800000,356.3400000,356.3400000,15095793281
20160212,000000,356.4300000,357.0400000,356.1600000,356.1600000,8634541174
20160215,000000,356.3600000,358.8200000,356.3600000,358.5000000,8295005524
