Date;Price;Open;Max;Min;Up/down
18.04.2005;4235.1;4316.48;4316.48;4215.83;-1.76%
19.04.2005;4210.87;4222.26;4238.96;4210.87;-0.57%
20.04.2005;4217.44;4216.07;4238.91;4214.76;0.16%
21.04.2005;4250.2;4213.17;4250.2;4209.61;0.78%
22.04.2005;4278.67;4250.57;4286.77;4250.57;0.67%
25.04.2005;4285.46;4285.83;4315.27;4284.71;0.16%
26.04.2005;4276.31;4287.48;4289.35;4276.31;-0.21%
27.04.2005;4214.1;4277.52;4277.52;4214.1;-1.45%
28.04.2005;4184.14;4220.85;4231.1;4184.14;-0.71%
29.04.2005;4189.79;4186.41;4197.6;4182.79;0.14%
03.05.2005;4180.32;4186;4188.5;4169.64;-0.23%
04.05.2005;4188.48;4188.92;4202.88;4188.48;0.20%
05.05.2005;4193.87;4186.06;4221.49;4186.06;0.13%
06.05.2005;4188.17;4193.04;4197.54;4187.86;-0.14%
11.05.2005;4141.48;4183.53;4183.65;4141.48;-1.11%
12.05.2005;4058.25;4145.13;4145.13;4058.25;-2.01%
13.05.2005;4010.02;4065.85;4077.7;4002.68;-1.19%
14.05.2005;4034.27;4019.33;4034.27;4019.33;0.60%
16.05.2005;3979.08;4032.96;4032.96;3977.32;-1.37%
17.05.2005;4018.46;3988.15;4018.46;3977.44;0.99%
18.05.2005;4075.12;4014.56;4075.87;4014.56;1.41%
19.05.2005;4075.06;4076.95;4084.07;4075.06;0.00%
20.05.2005;4064.91;4068.12;4068.12;4060.89;-0.25%
23.05.2005;4064.76;4066.15;4069.35;4063;0.00%
24.05.2005;4225.69;4078.16;4225.75;4078.16;3.96%
25.05.2005;4218.71;4220.35;4234.66;4205.72;-0.17%
26.05.2005;4228.2;4219.31;4236.46;4206.32;0.22%
27.05.2005;4237.02;4235.38;4255.01;4235.38;0.21%
30.05.2005;4210.55;4239.16;4239.16;4210.49;-0.62%
31.05.2005;4260.47;4213.15;4260.47;4204.44;1.19%
01.06.2005;4229.7;4269.26;4269.45;4220.63;-0.72%
02.06.2005;4301.99;4243.78;4304.98;4243.78;1.71%
03.06.2005;4314.44;4315.78;4320.06;4305.25;0.29%
06.06.2005;4314.67;4314.42;4317.1;4304.97;0.01%
07.06.2005;4302.58;4322.14;4328.09;4293.76;-0.28%
08.06.2005;4293.05;4304.1;4304.55;4288.7;-0.22%
09.06.2005;4299.05;4287.31;4304.35;4284.82;0.14%
10.06.2005;4329.09;4309.52;4329.22;4309.52;0.70%
14.06.2005;4386.44;4332.29;4388.56;4332.29;1.32%
15.06.2005;4377.76;4402.23;4406.4;4377.76;-0.20%
16.06.2005;4372.73;4390.23;4407.03;4372.73;-0.11%
17.06.2005;4408.45;4371.21;4410.44;4369.79;0.82%
20.06.2005;4436.61;4407.36;4437.06;4407.36;0.64%
21.06.2005;4418.69;4419.78;4419.78;4396.79;-0.40%
22.06.2005;4467.93;4430.05;4467.93;4421.38;1.11%
23.06.2005;4509.12;4469.06;4511.62;4468.41;0.92%
24.06.2005;4517.69;4519.43;4520.14;4495.62;0.19%
27.06.2005;4514.3;4527.07;4527.07;4505.34;-0.08%
28.06.2005;4491.92;4500.02;4501.43;4472.19;-0.50%
29.06.2005;4489.11;4492.71;4498.04;4474.77;-0.06%
30.06.2005;4554.4;4502.3;4561.75;4502.3;1.45%
01.07.2005;4621.39;4548;4621.39;4546.39;1.47%
04.07.2005;4646.68;4627.91;4667.77;4627.91;0.55%
05.07.2005;4657.88;4662.55;4683.21;4649.08;0.24%
06.07.2005;4799.61;4684.26;4812.06;4684.26;3.04%
07.07.2005;4778.35;4802.59;4823.97;4704.41;-0.44%
08.07.2005;4856.34;4780.55;4858.74;4780.55;1.63%
11.07.2005;4869.74;4857.16;4891.72;4857.16;0.28%
12.07.2005;4854.43;4845.97;4854.43;4833.51;-0.31%
13.07.2005;4874.26;4831.24;4884.93;4831.24;0.41%
14.07.2005;4852.03;4873.16;4878.5;4844.45;-0.46%
15.07.2005;4810.24;4859.55;4859.55;4806.76;-0.86%
18.07.2005;4783.02;4802.59;4809.54;4783.02;-0.57%
19.07.2005;4807.03;4790.14;4807.74;4789.88;0.50%
20.07.2005;4895.17;4816.23;4895.75;4816.23;1.83%
21.07.2005;4880.13;4890.83;4917.01;4872;-0.31%
22.07.2005;4952.95;4868.51;4953.4;4866.06;1.49%
25.07.2005;5007.56;4950.04;5010.9;4950.04;1.10%
26.07.2005;4955.59;5024.3;5024.3;4946.62;-1.04%
27.07.2005;4971.16;4955.8;4979.22;4953.29;0.31%
28.07.2005;5033.99;4978.75;5035.22;4978.75;1.26%
29.07.2005;5023.84;5028.29;5056.42;5020.81;-0.20%
01.08.2005;5037.85;5015.31;5039.07;4993.94;0.28%
02.08.2005;5083.89;5035.21;5086.72;5035.21;0.91%
03.08.2005;5019.41;5082.07;5103.48;5018.89;-1.27%
04.08.2005;5107.3;5024.06;5107.3;5012.87;1.75%
05.08.2005;5145.05;5087.72;5145.18;5087.72;0.74%
08.08.2005;5176.04;5131.69;5177.96;5127.86;0.60%
09.08.2005;5199.79;5187.38;5211.11;5180.67;0.46%
10.08.2005;5201.86;5189.67;5223.3;5189.67;0.04%
11.08.2005;5140.57;5204.49;5217.77;5140.57;-1.18%
12.08.2005;5141.62;5137.92;5145.77;5096.44;0.02%
15.08.2005;5171.58;5129.11;5171.58;5126.76;0.58%
16.08.2005;5337.09;5187.23;5337.28;5187.23;3.20%
17.08.2005;5409.35;5343.98;5415.55;5323.34;1.35%
18.08.2005;5381.12;5415.82;5430.04;5343.79;-0.52%
19.08.2005;5463.57;5382.2;5465.36;5373.99;1.53%
22.08.2005;5521.27;5484.22;5547.7;5484.22;1.06%
23.08.2005;5537.12;5518.61;5542.97;5518.61;0.29%
24.08.2005;5543.8;5529.99;5551.18;5512.98;0.12%
25.08.2005;5559.72;5551.49;5562.68;5533.3;0.29%
26.08.2005;5586.56;5537.09;5586.75;5537.09;0.48%
29.08.2005;5604.69;5585.63;5607.38;5579.61;0.32%
30.08.2005;5632.81;5602.31;5693.18;5602.31;0.50%
31.08.2005;5661.69;5654.25;5664.07;5583.57;0.51%
01.09.2005;5744.52;5665.08;5775.98;5665.08;1.46%
02.09.2005;5823.83;5725.77;5823.95;5725.77;1.38%
05.09.2005;5792.74;5791.85;5804.84;5779.89;-0.53%
06.09.2005;5596.3;5768.64;5768.64;5596.3;-3.39%
07.09.2005;5497.33;5599.15;5637.47;5473.1;-1.77%
08.09.2005;5600.6;5498.06;5600.6;5498.06;1.88%
09.09.2005;5756.02;5611.72;5756.08;5611.72;2.78%
12.09.2005;5742.27;5758.28;5774.79;5733.56;-0.24%
13.09.2005;5739.93;5758.04;5758.04;5727.75;-0.04%
14.09.2005;5719.89;5742.55;5742.55;5669.52;-0.35%
15.09.2005;5774.38;5710.32;5779.79;5710.32;0.95%
16.09.2005;5888.5;5784.77;5900.69;5766.91;1.98%
19.09.2005;6022.85;5870.99;6022.85;5858.96;2.28%
20.09.2005;6047.38;6065.11;6167.05;6008.22;0.41%
21.09.2005;6135.47;6034.61;6135.47;5982.87;1.46%
22.09.2005;6165.24;6137.28;6216.23;6137.28;0.49%
23.09.2005;6156.1;6164.27;6199.66;6137.67;-0.15%
26.09.2005;6104.47;6162.97;6162.97;6088.17;-0.84%
27.09.2005;6319.86;6138;6319.86;6138;3.53%
28.09.2005;6348.77;6325.64;6427.21;6325.64;0.46%
29.09.2005;6360.13;6350.05;6411.27;6350.05;0.18%
30.09.2005;6458.3;6352.43;6463.42;6352.43;1.54%
03.10.2005;6665.35;6466.43;6666.44;6466.43;3.21%
04.10.2005;6723.94;6685.98;6773.55;6685.98;0.88%
05.10.2005;6503.06;6709.95;6709.95;6501.26;-3.28%
06.10.2005;6142.5;6460.96;6460.96;6125.25;-5.54%
07.10.2005;6087.15;6124.16;6138.65;6048.09;-0.90%
10.10.2005;6209.18;6077.8;6220.06;6077.8;2.00%
11.10.2005;6369.47;6211.91;6369.47;6203.46;2.58%
12.10.2005;6208.71;6390.76;6450.16;6208.71;-2.52%
13.10.2005;6019.49;6207.45;6207.45;5991.23;-3.05%
14.10.2005;5859.8;6011.9;6012.48;5859.16;-2.65%
17.10.2005;5884.42;5871.17;5936.04;5838.2;0.42%
18.10.2005;5890.39;5887.37;5947.87;5887.37;0.10%
19.10.2005;5675.83;5884.05;5884.05;5675.83;-3.64%
20.10.2005;5721.21;5715.02;5767.96;5715.02;0.80%
21.10.2005;5714.6;5706.42;5714.6;5621.98;-0.12%
24.10.2005;5836.46;5702.66;5839.1;5696.68;2.13%
25.10.2005;5821.19;5867.15;5893.35;5803.17;-0.26%
26.10.2005;5856.97;5826.92;5876.2;5826.92;0.61%
27.10.2005;5750.78;5823.62;5836.42;5733.5;-1.81%
28.10.2005;5832.59;5747.67;5837.65;5721.92;1.42%
31.10.2005;5976.28;5824.09;5976.28;5824.09;2.46%
01.11.2005;6038.44;5993.19;6083.25;5988.83;1.04%
02.11.2005;6197.91;6065.96;6197.91;6065.96;2.64%
03.11.2005;6249.73;6203.77;6259.95;6203.77;0.84%
07.11.2005;6238.95;6243.7;6250.83;6166.71;-0.17%
08.11.2005;6280.94;6268;6283.97;6232.63;0.67%
09.11.2005;6357.2;6304.16;6389.56;6298.06;1.21%
10.11.2005;6302.55;6356.23;6365.56;6297.5;-0.86%
11.11.2005;6282.21;6290.89;6290.89;6240.42;-0.32%
14.11.2005;6422.41;6298.31;6422.41;6298.31;2.23%
15.11.2005;6424.99;6412.35;6467.57;6411.57;0.04%
16.11.2005;6420.89;6429.72;6433.74;6381.58;-0.06%
17.11.2005;6578.01;6423.22;6597.85;6423.22;2.45%
18.11.2005;6583.75;6580.31;6609.47;6565.57;0.09%
21.11.2005;6622.16;6578.18;6676.12;6578.18;0.58%
22.11.2005;6566.05;6610.89;6638.06;6552.14;-0.85%
23.11.2005;6589.81;6579.38;6604.78;6579.38;0.36%
24.11.2005;6650.1;6568.71;6650.1;6568.19;0.91%
25.11.2005;6686.11;6655.28;6686.11;6632.99;0.54%
28.11.2005;6731.6;6703.05;6789.93;6703.05;0.68%
29.11.2005;6718.61;6744.83;6744.83;6675.24;-0.19%
30.11.2005;6701.53;6685.96;6713.03;6656.05;-0.25%
01.12.2005;6852.97;6720.11;6855.24;6720.11;2.26%
02.12.2005;6953.94;6869.12;6997.55;6869.12;1.47%
05.12.2005;7008.43;6990.78;7062.75;6990.78;0.78%
06.12.2005;6992.47;7020.9;7027.74;6975.38;-0.23%
07.12.2005;7042.33;6970.81;7054.55;6970.74;0.71%
08.12.2005;7021.62;7038.86;7038.86;6950.92;-0.29%
09.12.2005;7053.71;7042.96;7083.56;7036.5;0.46%
12.12.2005;7127.38;7041.39;7127.38;7041.39;1.04%
13.12.2005;7099.29;7109.35;7115.12;7093.38;-0.39%
14.12.2005;7139.12;7063.57;7143.06;7052.27;0.56%
15.12.2005;7096.74;7112.01;7144.37;7093.45;-0.59%
16.12.2005;7092.37;7101.4;7106.88;7085.53;-0.06%
19.12.2005;7112.11;7076.35;7113.08;7072.29;0.28%
20.12.2005;7089.35;7096.18;7096.18;7074.34;-0.32%
21.12.2005;7124.46;7096.35;7125.1;7092.55;0.50%
22.12.2005;7299.13;7151.46;7302.43;7151.46;2.45%
23.12.2005;7303;7315.77;7386.98;7303;0.05%
26.12.2005;7295.48;7289.07;7305.45;7287.84;-0.10%
27.12.2005;7280.24;7298.77;7307.84;7280.24;-0.21%
28.12.2005;7231.45;7283.42;7283.42;7223.74;-0.67%
29.12.2005;7254.42;7214.14;7271.29;7214.14;0.32%
30.12.2005;7287.17;7262.95;7289.43;7262.82;0.45%
10.01.2006;7704.29;7302.1;7720.86;7302.1;5.72%
11.01.2006;7792.45;7621.96;7794.12;7614.4;1.14%
12.01.2006;8044.27;7794.73;8079.5;7794.73;3.23%
13.01.2006;7916.57;8018.03;8055.84;7880.42;-1.59%
16.01.2006;8175.95;7940;8178.26;7940;3.28%
17.01.2006;7977.78;8131.85;8224.19;7933.42;-2.42%
18.01.2006;7850.99;7964.78;7964.78;7754.24;-1.59%
19.01.2006;8135.43;7847.32;8135.43;7800.54;3.62%
20.01.2006;8297.8;8134.97;8306.9;8134.97;2.00%
23.01.2006;8241;8297.56;8307.36;8192.15;-0.68%
24.01.2006;8244.73;8176.29;8251.04;8176.29;0.05%
25.01.2006;8337.46;8226.68;8344.82;8226.68;1.12%
26.01.2006;8417.56;8332.93;8433.35;8324.37;0.96%
27.01.2006;8636.99;8419.43;8636.99;8419.43;2.61%
30.01.2006;8395.67;8658.64;8673.95;8391.38;-2.79%
31.01.2006;8321.5;8435.83;8514.37;8313.85;-0.88%
01.02.2006;8473.75;8324.72;8476.6;8280.06;1.83%
02.02.2006;8436;8467.22;8482.32;8426.52;-0.45%
03.02.2006;8292.4;8457.22;8457.22;8290.82;-1.70%
