TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
31.01.2012;10362,82;10238,9;10401,77;10234,25;9252337492,0417;;;2;4629687826917,86;RUB;999999,999999
30.01.2012;10238,9;10331,9;10386,28;10215,76;8771718632,4895;;;2;4574325631126,33;RUB;999999,999999
27.01.2012;10331,9;10373,22;10407,18;10287,32;9438843980,9503;;;2;4615877366525,31;RUB;999999,999999
26.01.2012;10373,22;10279,66;10421,32;10275,95;13607538518,8657;;;2;4634334743788,15;RUB;999999,999999
25.01.2012;10279,66;10201,12;10329,86;10193,74;11256432179,3097;;;2;4592535315748,55;RUB;999999,999999
24.01.2012;10201,12;10267,95;10292,08;10143,26;11270316299,0339;;;2;4557448568909,8;RUB;999999,999999
23.01.2012;10267,95;10212,72;10271,29;10110,8;11490891604,2489;;;2;4587305894437,4;RUB;999999,999999
20.01.2012;10212,72;10303,31;10327,53;10186,51;11522176740,1849;;;2;4562628166980,78;RUB;999999,999999
19.01.2012;10303,31;10232,33;10324,85;10213,57;11927572271,3333;;;2;4603102790563,46;RUB;999999,999999
18.01.2012;10232,33;10179,43;10235,92;10103,24;12739445130,0285;;;2;4571389164679,61;RUB;999999,999999
17.01.2012;10179,43;10046,69;10237,05;10043,65;10729917077,5782;;;2;4547756861164,99;RUB;999999,999999
16.01.2012;10046,69;10014,77;10062,13;9900,74;8806001281,6107;;;2;4488455811063,23;RUB;999999,999999
13.01.2012;10014,77;10025,51;10114,79;9990,4;12045158968,5223;;;2;4474196035340,77;RUB;999999,999999
12.01.2012;10025,51;10035,88;10163,6;9974,1;8762959146,0507;;;2;4478992388372,54;RUB;999999,999999
11.01.2012;10035,88;10103,92;10128,3;9979,55;8963568766,5176;;;2;4483626974842,45;RUB;999999,999999
10.01.2012;10103,92;9885,67;10120,56;9843,25;8302476770,3594;;;2;4514023503951,71;RUB;999999,999999
09.01.2012;9885,67;9849,9;9887,7;9779,7;7357824542,7798;;;2;4416515656893,59;RUB;999999,999999
06.01.2012;9849,9;9817,13;9939,09;9788,35;6728988121,8796;;;2;4400535235945,65;RUB;999999,999999
05.01.2012;9817,13;9894,3;9973,45;9803,66;6889284097,0728;;;2;4385896385745,42;RUB;999999,999999
04.01.2012;9894,3;9863,45;9937,07;9827,6;7400094529,6387;;;2;4420373832643,43;RUB;999999,999999
03.01.2012;9863,45;9592,15;9865,78;9577,01;6650331183,7572;;;2;4406591238071,49;RUB;999999,999999
30.12.2011;9592,15;9504,78;9631,85;9458,81;5518076852,0048;;;2;4285383273261,51;RUB;999999,999999
29.12.2011;9504,78;9482,94;9508;9304,15;10222368174,896;;;2;4246352505510,41;RUB;999999,999999
28.12.2011;9482,94;9505,03;9540,84;9453,19;8738286978,5388;;;2;4236592251191,39;RUB;999999,999999
