Date,ALRS.ME,CHMF.ME,FIVE.ME,GAZP.ME,GMKN.ME,LKOH.ME,MGNT.ME,MTSS.ME,NVTK.ME,ROSN.ME,SBER.ME,SNGS.ME,TATN.ME,VTBR.ME,YNDX.ME
2018-03-26,92.62999725341797,873.5,1811.0,138.77000427246094,10767.0,3814.0,4688.0,291.95001220703125,735.7000122070312,309.0,256.1300048828125,28.155000686645508,604.7000122070312,0.051259998232126236,2324.5
2018-03-27,91.69999694824219,865.4000244140625,1846.5,140.8000030517578,10728.0,3878.0,4755.0,292.29998779296875,752.7999877929688,309.6499938964844,258.0,28.299999237060547,605.5,0.05180000141263008,2364.0
2018-03-28,89.44000244140625,865.7999877929688,1838.5,140.47000122070312,10695.0,3927.0,4605.0,295.0,743.0,308.79998779296875,251.5,28.450000762939453,604.0,0.050999999046325684,2265.0
2018-03-29,91.20999908447266,869.4000244140625,1932.0,142.8000030517578,10795.0,3991.5,4636.0,293.29998779296875,741.9000244140625,316.3500061035156,252.89999389648438,28.665000915527344,615.0,0.05115000158548355,2314.0
2018-03-30,92.0,872.4000244140625,1932.0,142.3300018310547,10760.0,3961.0,4680.0,294.1499938964844,737.5999755859375,313.8999938964844,253.57000732421875,28.3700008392334,611.5999755859375,0.051660001277923584,2287.0
2018-04-02,90.0999984741211,870.0,1949.5,140.32000732421875,10800.0,3955.5,4720.0,297.75,735.2000122070312,309.04998779296875,249.99000549316406,28.5,598.2999877929688,0.05113999918103218,2253.0
2018-04-03,89.75,871.2000122070312,1947.0,140.6999969482422,10819.0,3943.0,4698.0,296.95001220703125,741.4000244140625,313.0,251.3000030517578,28.274999618530273,603.0999755859375,0.05226000025868416,2260.0
2018-04-04,89.4000015258789,870.2999877929688,1943.5,139.74000549316406,10728.0,3928.5,4648.0,292.0,751.2999877929688,319.04998779296875,254.27999877929688,28.395000457763672,598.7999877929688,0.052239999175071716,2228.0
2018-04-05,90.81999969482422,881.7000122070312,2050.0,140.5,10744.0,3990.0,4725.0,294.1000061035156,770.0,322.6499938964844,262.0,28.940000534057617,614.5499877929688,0.053950000554323196,2315.0
2018-04-06,89.55999755859375,889.0,2015.5,140.99000549316406,10691.0,3925.0,4711.0,292.8500061035156,765.7000122070312,318.6499938964844,256.5400085449219,28.80500030517578,607.75,0.05496999993920326,2310.5
2018-04-09,82.0,840.0999755859375,1876.0,135.00999450683594,9142.0,3640.0,4436.0,267.3999938964844,709.5999755859375,296.1499938964844,215.1300048828125,27.8799991607666,595.9000244140625,0.05071999877691269,2134.0
2018-04-10,82.1500015258789,900.0999755859375,1937.0,141.8000030517578,9810.0,3900.0,4518.0,281.8500061035156,747.5,309.0,214.8000030517578,29.094999313354492,641.0999755859375,0.05090999975800514,2169.0
2018-04-11,82.69999694824219,901.5,1875.0,145.27000427246094,9888.0,4070.0,4555.0,279.0,743.4000244140625,324.0,208.0,29.25,650.25,0.05046999827027321,2240.0
2018-04-12,84.91999816894531,897.9000244140625,1926.0,145.36000061035156,10370.0,3959.0,4718.0,282.70001220703125,742.0,323.54998779296875,212.6999969482422,29.524999618530273,648.7999877929688,0.05076000094413757,2157.0
2018-04-13,85.4000015258789,881.0,1901.0,142.5800018310547,10490.0,3902.0,4710.0,279.0,732.0999755859375,323.0,204.6999969482422,29.094999313354492,647.75,0.05087000131607056,2083.5
2018-04-16,86.0999984741211,895.0,1930.0,141.5,9900.0,3892.0,4690.0,278.0,716.0,319.0,192.05999755859375,29.170000076293945,650.0,0.05178999900817871,2020.5
2018-04-17,87.94999694824219,922.7000122070312,1969.0,142.39999389648438,10229.0,3940.0,4790.0,283.20001220703125,728.0,329.5,207.5,29.1200008392334,657.0,0.05217000097036362,2103.5
2018-04-18,89.0,946.5,2055.0,144.75,10672.0,4030.0,4895.0,289.29998779296875,746.0999755859375,333.1000061035156,215.8699951171875,29.540000915527344,660.5499877929688,0.05299999937415123,2142.0
2018-04-19,87.95999908447266,948.5,1974.0,143.39999389648438,10685.0,4015.0,4921.0,289.5,734.0999755859375,337.29998779296875,213.4499969482422,29.344999313354492,660.0,0.05249999836087227,2096.5
2018-04-20,87.7300033569336,948.0,1980.5,143.5500030517578,10538.0,3975.5,4825.0,286.45001220703125,740.2000122070312,336.95001220703125,213.83999633789062,29.235000610351562,653.2999877929688,0.05262000113725662,2082.0
2018-04-23,88.0,962.0,1940.0,143.99000549316406,10875.0,3974.0,4785.0,287.1499938964844,743.7000122070312,351.0,223.25,29.09000015258789,659.4500122070312,0.05299999937415123,2140.5
