<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20180720,000000,1446.0000000,1452.0000000,1437.0000000,1437.0000000,412
20180723,000000,1443.5000000,1448.0000000,1443.5000000,1448.0000000,451
20180724,000000,1447.5000000,1454.0000000,1447.5000000,1454.0000000,462
20180725,000000,1446.0000000,1457.0000000,1446.0000000,1457.0000000,1053
20180726,000000,1462.5000000,1462.5000000,1462.0000000,1462.0000000,301
20180727,000000,1462.0000000,1462.0000000,1457.5000000,1457.5000000,2904
20180730,000000,1455.5000000,1465.5000000,1455.5000000,1458.0000000,3867
20180731,000000,1461.0000000,1478.0000000,1461.0000000,1478.0000000,1133
20180801,000000,1478.0000000,1478.0000000,1475.0000000,1476.0000000,2019
20180802,000000,1480.0000000,1480.0000000,1470.0000000,1470.0000000,583
20180803,000000,1452.5000000,1462.5000000,1452.5000000,1462.5000000,917
20180806,000000,1468.0000000,1468.0000000,1464.0000000,1464.0000000,542
20180807,000000,1474.0000000,1479.0000000,1474.0000000,1479.0000000,904
20180808,000000,1474.0000000,1474.0000000,1459.0000000,1460.0000000,1355
20180809,000000,1454.0000000,1467.5000000,1444.5000000,1467.0000000,1510
20180810,000000,1464.0000000,1471.5000000,1450.0000000,1450.0000000,2722
20180813,000000,1451.0000000,1467.5000000,1451.0000000,1467.5000000,5158
20180814,000000,1467.5000000,1467.5000000,1457.5000000,1457.5000000,5
20180815,000000,1444.5000000,1444.5000000,1442.5000000,1442.5000000,1072
20180816,000000,1447.5000000,1447.5000000,1446.5000000,1446.5000000,12
20180817,000000,1442.5000000,1446.0000000,1442.5000000,1446.0000000,5
20180820,000000,1452.0000000,1456.5000000,1450.0000000,1450.0000000,454
20180821,000000,1448.5000000,1464.5000000,1447.5000000,1464.5000000,452
20180822,000000,1470.0000000,1474.5000000,1459.5000000,1468.0000000,1714
20180823,000000,1462.5000000,1471.5000000,1450.0000000,1450.0000000,2095
20180824,000000,1453.5000000,1458.0000000,1439.5000000,1458.0000000,3335
20180827,000000,1471.0000000,1478.0000000,1469.5000000,1478.0000000,912
20180828,000000,1482.5000000,1487.0000000,1482.5000000,1483.5000000,375
20180829,000000,1488.5000000,1499.0000000,1488.5000000,1499.0000000,4051
20180830,000000,1499.0000000,1507.0000000,1491.5000000,1491.5000000,2151
20180831,000000,1488.0000000,1496.5000000,1480.5000000,1494.0000000,919
20180903,000000,1430.0000000,1502.0000000,1430.0000000,1497.5000000,2117
20180904,000000,1512.0000000,1514.0000000,1496.5000000,1498.5000000,11165
20180905,000000,1502.5000000,1503.0000000,1496.5000000,1496.5000000,1662
20180906,000000,1497.5000000,1503.0000000,1495.0000000,1495.0000000,2580
20180907,000000,1493.5000000,1493.5000000,1481.5000000,1493.5000000,3616
20180910,000000,1460.0000000,1491.0000000,1451.0000000,1491.0000000,1647
20180911,000000,1430.0000000,1496.5000000,1430.0000000,1482.5000000,6803
20180912,000000,1495.5000000,1495.5000000,1492.0000000,1492.0000000,3835
20180913,000000,1498.5000000,1510.5000000,1496.5000000,1498.5000000,13051
20180914,000000,1505.0000000,1505.5000000,1497.0000000,1502.5000000,3058
20180917,000000,1505.0000000,1505.5000000,1498.0000000,1505.5000000,7817
20180918,000000,1505.5000000,1523.5000000,1505.5000000,1523.5000000,1773
20180919,000000,1526.0000000,1533.5000000,1524.0000000,1524.0000000,2723
20180920,000000,1533.0000000,1540.5000000,1530.0000000,1530.0000000,4581
20180921,000000,1524.5000000,1537.5000000,1524.5000000,1537.5000000,1657
